index,prediction
14668,11.2 kilogram
14669,
128476,330.0 pound
89855,2.4 pound
128477,
128479,
128805,
89854,2.9 pound
128480,907.0 gram
14676,500.0 gram
89845,50.0 pound
89899,
128764,300.0 pound
14641,16.0 ounce
14640,
128813,
128811,
15519,
88756,
15512,
89945,20.0 gram
15510,196.0 gram
14606,4.5 gram
15506,227.0 gram
14610,
14615,
128451,
128452,64.0 gram
88770,985.0 gram
14623,250.0 gram
14624,75.0 gram
128455,
128456,1.1 pound
128457,142.0 gram
128458,454.0 gram
14632,
88775,70.0 pound
15499,
88780,66.0 gram
128809,
128463,38.6 ton
89904,175.0 gram
128465,
14835,
14839,
128544,
128636,
128720,
89102,340.0 gram
128639,
128640,
15077,100.0 gram
15264,430.0 gram
128719,320.0 gram
128718,
128642,64.0 gram
89335,
128643,
15272,
15081,311.8 gram
15087,
15090,396.0 gram
15261,
15260,202.0 gram
15102,0.3 kilogram
15103,85.0 gram
89111,
128645,
15107,15.0 gram
15108,454.0 gram
128646,20.0 ounce
15114,
15082,220.0 gram
128635,
15273,35.0 gram
128633,
128733,
128619,3.0 ounce
15035,656.0 gram
128620,
15040,
128622,
15044,440.0 pound
128623,9.5 gram
128731,
128624,
128627,
128628,1.3 pound
128730,
15051,128.0 gram
128728,4.0 pound
15053,12.0 ounce
89065,
15056,2.2 pound
15290,51.0 ton
128630,
128725,
15061,500.0 gram
128724,170.0 pound
128722,4.8 pound
15280,2268.0 gram
128632,
89351,600.0 pound
15115,240.0 gram
15257,7.7 pound
15254,100.0 gram
128647,10.0 ounce
15234,150.0 gram
128707,
128677,
128706,907.0 gram
15167,
15168,426.0 gram
15225,
128704,23.0 pound
128680,33.0 pound
15171,2.6 gram
15175,57.0 gram
15176,737.0 gram
128683,232.0 gram
89210,10.0 kilogram
128684,
15191,238.0 gram
89200,200.0 kilogram
15195,0.4 pound
128685,
15216,256.0 gram
128701,300.0 pound
128688,
128690,202.0 gram
128691,1350.0 gram
128699,18.0 pound
128692,1.4 pound
15209,1.0 pound
128709,
15034,8490.0 gram
128675,62.0 pound
15236,
128651,396.0 gram
128655,3.9 pound
128656,
15123,30.0 gram
128657,
128660,
15129,75.0 gram
128661,
15131,
15253,
128663,
128716,
128664,
128713,150.0 kilogram
128665,400.0 gram
15145,37.0 pound
15146,
128711,
128710,2.2 pound
128667,
128669,
128670,20.0 pound
15150,40.0 ounce
128671,16.0 gram
128672,
128674,
15237,227.0 gram
89243,640.0 gram
128411,101.0 gram
128618,
128616,74.0 gram
89564,
128752,
14903,128.0 gram
14906,
14909,450.0 gram
88969,
